query_id,family,length,method,f1,sensitivity,ppv
16S_rRNA-Actinobacteria-AB184679,16S_rRNA,1474,rnafm_dsr_guided_k5,0.4142394822006473,0.4304932735426009,0.3991683991683992
16S_rRNA-Mollicutes-M24293,16S_rRNA,1463,rnafm_dsr_guided_k5,0.42660550458715596,0.42272727272727273,0.4305555555555556
16S_rRNA-Alphaproteobacteria-AF509930,16S_rRNA,1396,rnafm_dsr_guided_k5,0.49643705463182897,0.5036144578313253,0.4894613583138173
16S_rRNA-Actinobacteria-AY168581,16S_rRNA,1508,rnafm_dsr_guided_k5,0.34893617021276596,0.351931330472103,0.3459915611814346
16S_rRNA-Actinobacteria-AY295791,16S_rRNA,1457,rnafm_dsr_guided_k5,0.2822491730981257,0.2942528735632184,0.2711864406779661
16S_rRNA-Alphaproteobacteria-D30768,16S_rRNA,1410,rnafm_dsr_guided_k5,0.3849658314350798,0.3930232558139535,0.37723214285714285
16S_rRNA-Bacilli-AY318816,16S_rRNA,345,rnafm_dsr_guided_k5,0.43999999999999995,0.43137254901960786,0.4489795918367347
16S_rRNA-Alphaproteobacteria-AY296747,16S_rRNA,1447,rnafm_dsr_guided_k5,0.33815350389321464,0.3415730337078652,0.33480176211453744
16S_rRNA-Bacilli-AY826736,16S_rRNA,297,rnafm_dsr_guided_k5,0.4827586206896552,0.546875,0.43209876543209874
16S_rRNA-Bacilli-AJ781725,16S_rRNA,560,rnafm_dsr_guided_k5,0.6355140186915889,0.6986301369863014,0.5828571428571429
16S_rRNA-Alphaproteobacteria-AF510591,16S_rRNA,1400,rnafm_dsr_guided_k5,0.2835249042145594,0.2649164677804296,0.30494505494505497
16S_rRNA-Actinobacteria-AY502033,16S_rRNA,1448,rnafm_dsr_guided_k5,0.2907488986784141,0.29398663697104677,0.2875816993464052
16S_rRNA-Bacilli-DQ016719,16S_rRNA,1542,rnafm_dsr_guided_k5,0.3526970954356846,0.367170626349892,0.3393213572854291
16S_rRNA-Alphaproteobacteria-L36219,16S_rRNA,1442,rnafm_dsr_guided_k5,0.3669309173272933,0.37155963302752293,0.3624161073825503
16S_rRNA-Actinobacteria-AB211229,16S_rRNA,1507,rnafm_dsr_guided_k5,0.3518324607329843,0.3605150214592275,0.34355828220858897
16S_rRNA-Bacilli-L14013,16S_rRNA,1492,rnafm_dsr_guided_k5,0.26535087719298245,0.2688888888888889,0.2619047619047619
16S_rRNA-Bacilli-AB181675,16S_rRNA,821,rnafm_dsr_guided_k5,0.4720496894409938,0.4892703862660944,0.456
16S_rRNA-Actinobacteria-D45060,16S_rRNA,1486,rnafm_dsr_guided_k5,0.3099787685774947,0.3208791208791209,0.2997946611909651
16S_rRNA-Aquifcae-DQ834170,16S_rRNA,1376,rnafm_dsr_guided_k5,0.365361803084223,0.3640661938534279,0.36666666666666664
16S_rRNA-Alphaproteobacteria-AB162055,16S_rRNA,433,rnafm_dsr_guided_k5,0.4143426294820717,0.41935483870967744,0.4094488188976378
16S_rRNA-Bacilli-AB265165,16S_rRNA,1379,rnafm_dsr_guided_k5,0.5052878965922444,0.5429292929292929,0.4725274725274725
16S_rRNA-Bacilli-DQ643182,16S_rRNA,800,rnafm_dsr_guided_k5,0.34615384615384615,0.3103448275862069,0.391304347826087
16S_rRNA-Bacilli-AY839758,16S_rRNA,616,rnafm_dsr_guided_k5,0.6324786324786325,0.6851851851851852,0.5873015873015873
16S_rRNA-Actinobacteria-AJ781342,16S_rRNA,1478,rnafm_dsr_guided_k5,0.43784378437843785,0.44320712694877507,0.4326086956521739
16S_rRNA-Mollicutes-U04643,16S_rRNA,545,rnafm_dsr_guided_k5,0.1730769230769231,0.12080536912751678,0.3050847457627119
16S_rRNA-Actinobacteria-M74476,16S_rRNA,268,rnafm_dsr_guided_k5,0.20689655172413793,0.2542372881355932,0.1744186046511628
16S_rRNA-Actinobacteria-AB123419,16S_rRNA,564,rnafm_dsr_guided_k5,0.39156626506024095,0.45454545454545453,0.3439153439153439
