query_id,family,length,method,f1,sensitivity,ppv,neighbor_families,avg_dsr_score
16S_rRNA-Actinobacteria-AB184838,16S_rRNA,1480,rnafm_dsr_global_guided_k5,0.29508196721311475,0.3,0.2903225806451613,RfamFamily|group_I_intron|group_I_intron|tmRNA|group_I_intron,-0.00023405670654028655
16S_rRNA-Actinobacteria-DQ419520,16S_rRNA,1454,rnafm_dsr_global_guided_k5,0.21315192743764172,0.21029082774049218,0.2160919540229885,5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA,-0.00023325190413743259
16S_rRNA-Aquifcae-AB267428,16S_rRNA,1075,rnafm_dsr_global_guided_k5,0.4249201277955272,0.42765273311897106,0.4222222222222222,5S_rRNA|RfamFamily|5S_rRNA|5S_rRNA|RfamFamily,-0.00022989697463344784
16S_rRNA-Bacilli-AB186306,16S_rRNA,779,rnafm_dsr_global_guided_k5,0.07799442896935933,0.059322033898305086,0.11382113821138211,RfamFamily|group_I_intron|group_I_intron|RfamFamily|RfamFamily,-0.0002290081436512992
16S_rRNA-Bacilli-DQ401243,16S_rRNA,503,rnafm_dsr_global_guided_k5,0.5488721804511278,0.4899328859060403,0.6239316239316239,5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|RfamFamily,-0.00023952220508363097
16S_rRNA-Actinobacteria-AB184724,16S_rRNA,1473,rnafm_dsr_global_guided_k5,0.39562841530054643,0.40765765765765766,0.3842887473460722,RfamFamily|group_I_intron|group_I_intron|tmRNA|RfamFamily,-0.00023302514455281198
16S_rRNA-Alphaproteobacteria-D14513,16S_rRNA,1475,rnafm_dsr_global_guided_k5,0.2666666666666667,0.23059866962305986,0.3161094224924012,RfamFamily|RfamFamily|group_I_intron|tmRNA|RfamFamily,-0.0002362607279792428
16S_rRNA-Actinobacteria-AJ746069,16S_rRNA,815,rnafm_dsr_global_guided_k5,0.3734939759036145,0.3795918367346939,0.3675889328063241,SRP|SRP|RfamFamily|group_I_intron|tmRNA,-0.000232138967840001
16S_rRNA-Aquifcae-DQ398785,16S_rRNA,424,rnafm_dsr_global_guided_k5,0.537037037037037,0.58,0.5,SRP|SRP|SRP|SRP|RfamFamily,-0.00023543312563560902
16S_rRNA-Aquifcae-AY193014,16S_rRNA,501,rnafm_dsr_global_guided_k5,0.5230769230769231,0.5271317829457365,0.5190839694656488,SRP|SRP|SRP|SRP|RfamFamily,-0.00023590070486534387
16S_rRNA-Bacilli-AY640306,16S_rRNA,847,rnafm_dsr_global_guided_k5,0.5462012320328542,0.532,0.5611814345991561,5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|16S_rRNA,-0.00023735144932288677
16S_rRNA-Actinobacteria-AB167246,16S_rRNA,1417,rnafm_dsr_global_guided_k5,0.3917995444191344,0.4056603773584906,0.3788546255506608,group_I_intron|RfamFamily|group_I_intron|group_I_intron|group_I_intron,-0.00023358568432740867
16S_rRNA-Alphaproteobacteria-AY225395,16S_rRNA,1344,rnafm_dsr_global_guided_k5,0.4331210191082802,0.4497354497354497,0.4176904176904177,5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA,-0.00023435290495399386
16S_rRNA-Actinobacteria-AY900245,16S_rRNA,502,rnafm_dsr_global_guided_k5,0.25882352941176473,0.2661290322580645,0.25190839694656486,RfamFamily|group_I_intron|SRP|5S_rRNA|5S_rRNA,-0.0002354268217459321
16S_rRNA-Bacilli-DQ486946,16S_rRNA,979,rnafm_dsr_global_guided_k5,0.4253731343283582,0.43846153846153846,0.41304347826086957,5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA,-0.000236355431843549
16S_rRNA-Bacilli-AY631056,16S_rRNA,1372,rnafm_dsr_global_guided_k5,0.4280618311533888,0.4326923076923077,0.4235294117647059,RfamFamily|SRP|group_I_intron|group_I_intron|group_I_intron,-0.00023975521908141672
16S_rRNA-Alphaproteobacteria-AM114404,16S_rRNA,1388,rnafm_dsr_global_guided_k5,0.39856801909307876,0.4033816425120773,0.3938679245283019,5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA,-0.00023462476674467324
16S_rRNA-Alphaproteobacteria-X79726,16S_rRNA,1385,rnafm_dsr_global_guided_k5,0.27662178702570384,0.2749391727493917,0.27832512315270935,RfamFamily|5S_rRNA|RfamFamily|SRP|tmRNA,-0.00023254234401974826
16S_rRNA-Bacilli-DQ401214,16S_rRNA,569,rnafm_dsr_global_guided_k5,0.3793103448275862,0.3793103448275862,0.3793103448275862,16S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA,-0.00024565327912569047
16S_rRNA-Actinobacteria-D45051,16S_rRNA,1462,rnafm_dsr_global_guided_k5,0.2635658914728682,0.2621145374449339,0.2650334075723831,SRP|group_I_intron|RfamFamily|group_I_intron|RfamFamily,-0.00023053033801261335
16S_rRNA-Actinobacteria-DQ375800,16S_rRNA,1313,rnafm_dsr_global_guided_k5,0.3764115432873275,0.4087193460490463,0.3488372093023256,RfamFamily|group_I_intron|group_I_intron|group_I_intron|group_I_intron,-0.00023213581007439644
16S_rRNA-Mollicutes-L33735,16S_rRNA,1435,rnafm_dsr_global_guided_k5,0.28805620608899296,0.2921615201900237,0.2840646651270208,RfamFamily|SRP|SRP|SRP|RfamFamily,-0.00023344102955888957
16S_rRNA-Actinobacteria-DQ521381,16S_rRNA,1436,rnafm_dsr_global_guided_k5,0.4449541284403669,0.46522781774580335,0.42637362637362636,RfamFamily|RfamFamily|group_I_intron|SRP|group_I_intron,-0.00023711213725619018
16S_rRNA-Bacilli-L37596,16S_rRNA,1498,rnafm_dsr_global_guided_k5,0.3662280701754386,0.3646288209606987,0.36784140969163,5S_rRNA|5S_rRNA|tRNA|5S_rRNA|tRNA,-0.00023880949593149125
16S_rRNA-Bacilli-DQ643113,16S_rRNA,600,rnafm_dsr_global_guided_k5,0.4457831325301204,0.4774193548387097,0.4180790960451977,16S_rRNA|16S_rRNA|16S_rRNA|SRP|SRP,-0.00023527760931756346
16S_rRNA-Bacilli-AY278609,16S_rRNA,1504,rnafm_dsr_global_guided_k5,0.4341637010676157,0.39956331877729256,0.4753246753246753,RfamFamily|group_I_intron|RfamFamily|tmRNA|RfamFamily,-0.0002304487075889483
16S_rRNA-Actinobacteria-AJ488565,16S_rRNA,1461,rnafm_dsr_global_guided_k5,0.3445287107258938,0.35333333333333333,0.3361522198731501,SRP|group_I_intron|SRP|SRP|RNaseP,-0.000234273771638982
16S_rRNA-Bacilli-AJ841849,16S_rRNA,411,rnafm_dsr_global_guided_k5,0.5502645502645503,0.5909090909090909,0.5148514851485149,16S_rRNA|RfamFamily|SRP|SRP|SRP,-0.00023823585943318903
16S_rRNA-Actinobacteria-X92618,16S_rRNA,1474,rnafm_dsr_global_guided_k5,0.22838137472283815,0.22737306843267108,0.22939866369710468,5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA|5S_rRNA,-0.00023309673124458641
16S_rRNA-Mollicutes-DQ411470,16S_rRNA,583,rnafm_dsr_global_guided_k5,0.2641509433962264,0.1696969696969697,0.5957446808510638,SRP|RfamFamily|RfamFamily|RfamFamily|group_I_intron,-0.0002321538544492796
16S_rRNA-Actinobacteria-AY999850,16S_rRNA,1421,rnafm_dsr_global_guided_k5,0.282051282051282,0.290167865707434,0.2743764172335601,16S_rRNA|group_I_intron|tRNA|RfamFamily|SRP,-0.0002353584539378062
16S_rRNA-Bacilli-AY986507,16S_rRNA,1540,rnafm_dsr_global_guided_k5,0.2724014336917563,0.24050632911392406,0.3140495867768595,RfamFamily|group_I_intron|SRP|SRP|group_I_intron,-0.00023928623704705387
16S_rRNA-Bacilli-U02923,16S_rRNA,319,rnafm_dsr_global_guided_k5,0.7044025157232704,0.8235294117647058,0.6153846153846154,16S_rRNA|RfamFamily|16S_rRNA|16S_rRNA|group_I_intron,-0.00023559028340969235
16S_rRNA-Alphaproteobacteria-DQ377753,16S_rRNA,1351,rnafm_dsr_global_guided_k5,0.39097744360902253,0.4051948051948052,0.37772397094430993,5S_rRNA|RfamFamily|5S_rRNA|5S_rRNA|5S_rRNA,-0.00023699495941400527
16S_rRNA-Actinobacteria-AY741363,16S_rRNA,1402,rnafm_dsr_global_guided_k5,0.352803738317757,0.37376237623762376,0.334070796460177,RfamFamily|group_I_intron|SRP|group_I_intron|RfamFamily,-0.00023278597509488464
16S_rRNA-Actinobacteria-AJ620368,16S_rRNA,1514,rnafm_dsr_global_guided_k5,0.4931216931216931,0.5109649122807017,0.47648261758691207,RfamFamily|SRP|group_I_intron|group_I_intron|group_I_intron,-0.00023555664520245046
16S_rRNA-Bacilli-AB064841,16S_rRNA,531,rnafm_dsr_global_guided_k5,0.33116883116883117,0.3355263157894737,0.3269230769230769,RfamFamily|RfamFamily|group_I_intron|group_I_intron|RNaseP,-0.00023034724581521003
16S_rRNA-Bacilli-AY871103,16S_rRNA,1503,rnafm_dsr_global_guided_k5,0.5316455696202531,0.5454545454545454,0.5185185185185185,RfamFamily|group_I_intron|16S_rRNA|group_I_intron|group_I_intron,-0.00023718684096820652
16S_rRNA-Actinobacteria-AY999885,16S_rRNA,1407,rnafm_dsr_global_guided_k5,0.3709677419354838,0.3955773955773956,0.3492407809110629,RfamFamily|group_I_intron|group_I_intron|SRP|tmRNA,-0.00023318128660321236
16S_rRNA-Bacilli-AB188210,16S_rRNA,1545,rnafm_dsr_global_guided_k5,0.42424242424242425,0.4117647058823529,0.4375,RfamFamily|5S_rRNA|5S_rRNA|5S_rRNA|16S_rRNA,-0.00023850315483286977
